,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
7531,6,37,1103,12102,7,34.06659,-118.22688,WGS84,Antimony (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.00832,0.005113,0.0182,2018-02-07 00:00,0.018,2018-11-10 00:00,0.0168,2018-10-29 00:00,0.0165,2018-10-17 00:00,,,,,0.0182,0.0182,0.018,0.0168,0.0129,0.00689,0.00283,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7532,6,37,1103,12103,7,34.06659,-118.22688,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.00091,0.00021,0.00198,2018-09-11 00:00,0.00087,2018-01-02 00:00,0.00087,2018-01-14 00:00,0.00087,2018-01-26 00:00,,,,,0.00198,0.00198,0.00087,0.00087,0.00087,0.00087,0.00087,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7533,6,37,1103,12105,7,34.06659,-118.22688,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Nanograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.152,0.0,0.152,2018-01-02 00:00,0.152,2018-01-14 00:00,0.152,2018-01-26 00:00,0.152,2018-02-07 00:00,,,,,0.152,0.152,0.152,0.152,0.152,0.152,0.152,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7534,6,37,1103,12110,7,34.06659,-118.22688,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.00074,0.000474,0.00316,2018-11-10 00:00,0.00065,2018-01-02 00:00,0.00065,2018-01-14 00:00,0.00065,2018-01-26 00:00,,,,,0.00316,0.00316,0.00065,0.00065,0.00065,0.00065,0.00065,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7535,6,37,1103,12112,7,34.06659,-118.22688,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.007536,0.003203,0.013,2018-12-04 00:00,0.011,2018-03-27 00:00,0.011,2018-10-29 00:00,0.011,2018-11-10 00:00,,,,,0.013,0.013,0.011,0.011,0.01,0.009,0.004,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7536,6,37,1103,12113,7,34.06659,-118.22688,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.000799,0.000378,0.00194,2018-11-10 00:00,0.0017,2018-10-17 00:00,0.00169,2018-10-29 00:00,0.00144,2018-11-22 00:00,,,,,0.00194,0.00194,0.0017,0.00169,0.00065,0.00065,0.00065,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7537,6,37,1103,12114,7,34.06659,-118.22688,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,23,38,N,22,61,0,7,,,Certification not required,0,0.049478,0.029048,0.101,2018-02-07 00:00,0.098,2018-11-10 00:00,0.094,2018-10-17 00:00,0.088,2018-10-29 00:00,,,,,0.101,0.101,0.098,0.094,0.08,0.041,0.018,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7538,6,37,1103,12115,1,34.06659,-118.22688,WGS84,Chromium VI (TSP) STP,24 HOUR,,Observed Values,LO-VOL-XONTECH 920 or 924 - ION CHROMATOGRAPH UV VISIBLE,2018,Micrograms/cubic meter (25 C),No Events,19,31,N,18,61,0,11,,,Certification not required,0,0.0,0.0,0.0,2018-01-02 00:00,0.0,2018-01-14 00:00,0.0,2018-02-07 00:00,0.0,2018-03-27 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7539,6,37,1103,12115,4,34.06659,-118.22688,WGS84,Chromium VI (TSP) STP,24 HOUR,,Observed Values,LO-VOL-XONTECH 920 or 924 - ION CHROMATOGRAPH UV VISIBLE,2018,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,4,,,Certification not required,0,0.0,0.0,0.0,2018-01-02 00:00,0.0,2018-01-08 00:00,0.0,2018-01-14 00:00,0.0,2018-01-20 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7540,6,37,1103,12115,5,34.06659,-118.22688,WGS84,Chromium VI (TSP) STP,24 HOUR,,Observed Values,LO-VOL-XONTECH 920 or 924 - ION CHROMATOGRAPH UV VISIBLE,2018,Micrograms/cubic meter (25 C),No Events,6,19,N,6,31,0,2,,,Certification not required,0,0.0,0.0,0.0,2018-01-08 00:00,0.0,2018-03-15 00:00,0.0,2018-05-08 00:00,0.0,2018-07-13 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7541,6,37,1103,12126,7,34.06659,-118.22688,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,1.341786,0.560985,2.33,2018-02-07 00:00,2.21,2018-10-17 00:00,2.08,2018-10-29 00:00,1.95,2018-12-04 00:00,,,,,2.33,2.33,2.21,2.08,1.86,1.4,0.606,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7542,6,37,1103,12128,7,34.06659,-118.22688,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),Events Included,28,46,N,27,61,28,2,,,Certification not required,0,0.007476,0.004646,0.0264,2018-11-10 00:00,0.0126,2018-10-29 00:00,0.0116,2018-10-17 00:00,0.0113,2018-02-07 00:00,,,,,0.0264,0.0264,0.0126,0.0116,0.00921,0.00689,0.00334,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2021-11-03
7543,6,37,1103,12132,7,34.06659,-118.22688,WGS84,Manganese (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.022076,0.009938,0.0404,2018-02-07 00:00,0.0371,2018-02-19 00:00,0.0364,2018-11-10 00:00,0.0342,2018-10-29 00:00,,,,,0.0404,0.0404,0.0371,0.0364,0.0316,0.0209,0.00849,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7544,6,37,1103,12134,7,34.06659,-118.22688,WGS84,Molybdenum (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.002782,0.002214,0.00756,2018-10-29 00:00,0.0068,2018-02-07 00:00,0.00646,2018-10-17 00:00,0.00613,2018-08-06 00:00,,,,,0.00756,0.00756,0.0068,0.00646,0.00471,0.00241,0.00065,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7545,6,37,1103,12136,7,34.06659,-118.22688,WGS84,Nickel (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.00296,0.001664,0.00673,2018-11-10 00:00,0.0055,2018-10-29 00:00,0.00531,2018-03-27 00:00,0.00514,2018-08-06 00:00,,,,,0.00673,0.00673,0.0055,0.00531,0.00435,0.00265,0.00096,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7546,6,37,1103,12154,7,34.06659,-118.22688,WGS84,Selenium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.002393,0.002728,0.0122,2018-05-14 00:00,0.0119,2018-05-26 00:00,0.00165,2018-01-02 00:00,0.00165,2018-01-14 00:00,,,,,0.0122,0.0122,0.0119,0.00165,0.00165,0.00165,0.00165,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7547,6,37,1103,12160,7,34.06659,-118.22688,WGS84,Tin (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.007821,0.004406,0.017,2018-11-10 00:00,0.015,2018-02-07 00:00,0.015,2018-10-29 00:00,0.015,2018-12-16 00:00,,,,,0.017,0.017,0.015,0.015,0.012,0.007,0.003,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7548,6,37,1103,12161,7,34.06659,-118.22688,WGS84,Titanium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.061214,0.028142,0.113,2018-02-19 00:00,0.112,2018-02-07 00:00,0.104,2018-10-17 00:00,0.093,2018-10-29 00:00,,,,,0.113,0.113,0.112,0.104,0.087,0.055,0.028,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7549,6,37,1103,12164,7,34.06659,-118.22688,WGS84,Vanadium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.002679,0.001362,0.006,2018-07-25 00:00,0.004,2018-02-19 00:00,0.004,2018-07-01 00:00,0.004,2018-07-13 00:00,,,,,0.006,0.006,0.004,0.004,0.004,0.003,0.001,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7550,6,37,1103,12167,7,34.06659,-118.22688,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,6,,,Certification not required,0,0.083958,0.041995,0.188,2018-11-10 00:00,0.148,2018-10-17 00:00,0.143,2018-10-29 00:00,0.14,2018-02-07 00:00,,,,,0.188,0.188,0.148,0.143,0.104,0.089,0.032,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7551,6,37,1103,12168,7,34.06659,-118.22688,WGS84,Strontium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.015345,0.006856,0.03,2018-11-10 00:00,0.0271,2018-01-02 00:00,0.0258,2018-10-29 00:00,0.0255,2018-02-07 00:00,,,,,0.03,0.03,0.0271,0.0258,0.0202,0.0147,0.00654,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7552,6,37,1103,12185,7,34.06659,-118.22688,WGS84,Zirconium (TSP) STP,24 HOUR,,Observed Values,"Lo-Vol-Xontech 920 or 924, Teflon - ICP/Mass Spectrometer",2018,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,2,,,Certification not required,0,0.004536,0.00348,0.011,2018-10-17 00:00,0.011,2018-11-10 00:00,0.011,2018-12-16 00:00,0.01,2018-02-07 00:00,,,,,0.011,0.011,0.011,0.011,0.008,0.003,0.001,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7553,6,37,1103,14129,2,34.06659,-118.22688,WGS84,Lead (TSP) LC,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2018,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,2,0.0,0.0,Certified,0,0.006836,0.003751,0.023,2018-11-10 00:00,0.02,2018-02-01 00:00,0.014,2018-01-02 00:00,0.013,2018-11-16 00:00,,,,,0.023,0.02,0.013,0.01,0.008,0.006,0.004,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2021-11-03
7554,6,37,1103,14129,3,34.06659,-118.22688,WGS84,Lead (TSP) LC,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2018,Micrograms/cubic meter (LC),No Events,52,85,N,52,61,0,10,0.0,0.0,Certified,0,0.007115,0.004185,0.025,2018-11-10 00:00,0.019,2018-02-01 00:00,0.016,2018-11-16 00:00,0.013,2018-12-10 00:00,,,,,0.025,0.019,0.016,0.011,0.008,0.007,0.003,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2021-11-03
7555,6,37,1103,17141,6,34.06659,-118.22688,WGS84,Naphthalene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,84.86,58.440345,233.0,2018-02-01 00:00,209.0,2018-02-07 00:00,207.0,2018-01-14 00:00,195.0,2018-09-17 00:00,,,,,233.0,209.0,207.0,188.0,112.0,63.5,30.8,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7556,6,37,1103,17147,6,34.06659,-118.22688,WGS84,Acenaphthene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,7.149433,5.255772,27.1,2018-07-07 00:00,20.4,2018-01-14 00:00,16.7,2018-09-17 00:00,16.5,2018-02-07 00:00,,,,,27.1,20.4,16.7,15.3,10.4,5.92,1.8,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7557,6,37,1103,17148,6,34.06659,-118.22688,WGS84,Acenaphthylene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.465255,0.633293,2.52,2018-12-10 00:00,2.01,2018-12-22 00:00,1.85,2018-01-02 00:00,1.79,2018-11-16 00:00,,,,,2.52,2.01,1.85,1.58,0.771,0.183,0.0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7558,6,37,1103,17149,6,34.06659,-118.22688,WGS84,Fluorene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,6.815717,4.620093,29.5,2018-07-07 00:00,15.3,2018-08-06 00:00,14.9,2018-01-14 00:00,13.1,2018-02-01 00:00,,,,,29.5,15.3,14.9,12.4,9.04,5.7,2.54,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7559,6,37,1103,17150,6,34.06659,-118.22688,WGS84,Phenanthrene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,10.752167,6.733807,44.9,2018-07-07 00:00,26.7,2018-08-06 00:00,20.9,2018-07-25 00:00,18.3,2018-02-01 00:00,,,,,44.9,26.7,20.9,17.6,13.9,10.1,4.02,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7560,6,37,1103,17151,6,34.06659,-118.22688,WGS84,Anthracene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.287082,0.277383,1.12,2018-12-16 00:00,0.984,2018-11-10 00:00,0.898,2018-12-22 00:00,0.878,2018-11-16 00:00,,,,,1.12,0.984,0.898,0.704,0.508,0.197,0.0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7561,6,37,1103,17158,6,34.06659,-118.22688,WGS84,Retene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.383022,0.471425,2.67,2018-11-22 00:00,2.06,2018-12-16 00:00,1.53,2018-12-22 00:00,1.06,2018-01-02 00:00,,,,,2.67,2.06,1.53,0.857,0.451,0.219,0.0953,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7562,6,37,1103,17159,6,34.06659,-118.22688,WGS84,9-fluorenone (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,2.693483,1.750786,10.3,2018-07-07 00:00,7.24,2018-11-10 00:00,6.44,2018-08-06 00:00,5.69,2018-07-25 00:00,,,,,10.3,7.24,6.44,4.5,3.69,2.34,1.04,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7563,6,37,1103,17160,6,34.06659,-118.22688,WGS84,Cyclopenta[cd]pyrene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.041717,0.069273,0.411,2018-12-10 00:00,0.232,2018-12-04 00:00,0.222,2018-11-10 00:00,0.166,2018-01-02 00:00,,,,,0.411,0.232,0.222,0.102,0.045,0.017,0.0,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7564,6,37,1103,17201,6,34.06659,-118.22688,WGS84,Fluoranthene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,2.010717,1.541522,11.1,2018-07-07 00:00,5.3,2018-11-10 00:00,4.82,2018-08-06 00:00,4.16,2018-07-25 00:00,,,,,11.1,5.3,4.82,2.87,2.47,1.87,0.755,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7565,6,37,1103,17204,6,34.06659,-118.22688,WGS84,Pyrene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,1.142983,0.749574,4.73,2018-07-07 00:00,3.43,2018-11-10 00:00,2.42,2018-08-06 00:00,2.05,2018-12-10 00:00,,,,,4.73,3.43,2.42,1.86,1.41,1.06,0.449,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7566,6,37,1103,17208,6,34.06659,-118.22688,WGS84,Chrysene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.153135,0.213072,1.61,2018-11-10 00:00,0.569,2018-12-10 00:00,0.338,2018-01-02 00:00,0.327,2018-07-07 00:00,,,,,1.61,0.569,0.338,0.286,0.155,0.107,0.0486,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7567,6,37,1103,17211,6,34.06659,-118.22688,WGS84,Coronene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.095383,0.088019,0.445,2018-11-10 00:00,0.35,2018-12-10 00:00,0.29,2018-01-02 00:00,0.258,2018-12-16 00:00,,,,,0.445,0.35,0.29,0.248,0.113,0.063,0.029,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7568,6,37,1103,17212,6,34.06659,-118.22688,WGS84,Perylene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.010377,0.014607,0.0789,2018-12-10 00:00,0.0718,2018-11-10 00:00,0.0371,2018-02-01 00:00,0.0346,2018-01-02 00:00,,,,,0.0789,0.0718,0.0371,0.0244,0.0111,0.0053,0.0025,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7569,6,37,1103,17215,6,34.06659,-118.22688,WGS84,Benzo[a]anthracene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.060717,0.095608,0.645,2018-11-10 00:00,0.348,2018-12-10 00:00,0.196,2018-01-02 00:00,0.178,2018-12-16 00:00,,,,,0.645,0.348,0.196,0.143,0.061,0.033,0.016,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7570,6,37,1103,17220,6,34.06659,-118.22688,WGS84,Benzo[b]fluoranthene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.158567,0.26867,1.86,2018-11-10 00:00,0.893,2018-12-10 00:00,0.513,2018-12-16 00:00,0.469,2018-01-02 00:00,,,,,1.86,0.893,0.513,0.34,0.155,0.073,0.034,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
7571,6,37,1103,17223,6,34.06659,-118.22688,WGS84,Benzo[k]fluoranthene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,1,,,Certification not required,0,0.04315,0.070737,0.479,2018-11-10 00:00,0.26,2018-12-10 00:00,0.141,2018-12-16 00:00,0.12,2018-12-22 00:00,,,,,0.479,0.26,0.141,0.099,0.043,0.019,0.008,Los Angeles-North Main Street,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2020-05-21
