,Unnamed: 0_x,id,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,last_seen,model,hidden,flagged,downgraded,age,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg,fips_id,Unnamed: 0_y,OBJECTID,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
0,28,47959,33.767104,-118.198957,100 Oceangate,inside,0.82,86.0,30.0,17.0,1012.79,2022-02-12 21:40:46,PMS5003+PMS5003+BME280,False,False,False,0,False,0.86,0.81,1.21,2.22,1.62,2.35,060375760012,36059,36060,60375760012.0,6,37,576001,2,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,445.1896918,166.96547,278.2242218,257.31062,2779,1960.0,1667.0,0.787,133,0.079784043,921,0.552489502,613,0.367726455,1135,177,359,599,0.155947137,36518,127,10751,16461,5522,3657,127,6243,16461,4247,3657,8,1267,4508,4063,6585,25870,0.1112602,7.617252642,10.80017607,141.9218531,0.49356688,41.78218528,63.97326313,21.46044341,14.21239434,0.49356688,24.26250421,63.97326313,16.50534284,14.21239434,0.031090827,4.924009744,17.51968108,149.5391057,0,21.90641872,0.779747723,0.779747723,0.739721503,0.739721503,0.769948732,0.72792191,0.69313746,0.385296773,0.141435733,0.060287361,0.031080563,0.379492883,47.20338328,9.815320564,7.468784015,29.9192787,350.5178642,46.00605913,23.00302957,36.80484731,292.1384755,103.513633,91.2,0.332764087,0.713610954,25.33,58.26667389,0.009114789,262455,258680,124964,150137,0.000105775,0.383447706,0.000118511,0.503079583,6.78e-05,0.104685305,0.00011123,0.14983897,18,17,20,20,19.16666667,6972.639103,1801666.1
1,100,94345,34.138132,-118.009183,1230 S Mayflower (Inside),inside,0.0,94.0,34.44444444444444,11.0,1002.99,2022-02-12 21:40:24,PMS5003+PMS5003+BME280,False,False,False,1,False,0.22,0.3,0.35,1.32,1.1,2.25,060374309011,48852,48853,60374309011.0,6,37,430901,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,111.2268759,0.0,111.2268759,111.2268759,1509,593.0,548.0,0.654,16,0.02919708,252,0.459854015,280,0.510948905,840,198,280,362,0.235714286,817,377,22,95,243,80,377,22,95,104,80,85,54,0,234,383,200,0.286413709,5.331445257,13.56686491,7.345347007,3.38946857,0.197793922,0.854110117,2.184723773,0.719250625,3.38946857,0.197793922,0.854110117,0.935025812,0.719250625,0.764203789,0.485494172,0.0,12.67679226,0,1.490875912,0.803136932,0.803136932,0.827030495,0.77392271,0.807734971,0.774576602,0.841329858,0.500956515,0.702493551,0.986119493,1.028151775,0.972240794,27.35579973,1.515532762,6.568009691,19.27225727,182.2638624,0.0,46.03204,23.01602,115.0801,51.78604499,0.0,0.020107374,0.393098045,5.33,30.66884665,0.00353214,275265,256737,118588,86030,0.000110938,0.402163162,0.00011762,0.499300846,6.44e-05,0.099343979,6.37e-05,0.085859226,19,18,19,20,19.16666667,3024.620797,450128.6139
2,101,95367,34.13815,-118.009264,1230 S Mayflower (Outside),outside,0.3,103.0,39.44444444444444,3.0,1003.45,2022-02-12 21:41:08,PMS5003+PMS5003+BME280,False,False,False,0,False,0.68,1.11,1.32,3.78,4.22,9.61,060374309011,48852,48853,60374309011.0,6,37,430901,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,111.2268759,0.0,111.2268759,111.2268759,1509,593.0,548.0,0.654,16,0.02919708,252,0.459854015,280,0.510948905,840,198,280,362,0.235714286,817,377,22,95,243,80,377,22,95,104,80,85,54,0,234,383,200,0.286413709,5.331445257,13.56686491,7.345347007,3.38946857,0.197793922,0.854110117,2.184723773,0.719250625,3.38946857,0.197793922,0.854110117,0.935025812,0.719250625,0.764203789,0.485494172,0.0,12.67679226,0,1.490875912,0.803136932,0.803136932,0.827030495,0.77392271,0.807734971,0.774576602,0.841329858,0.500956515,0.702493551,0.986119493,1.028151775,0.972240794,27.35579973,1.515532762,6.568009691,19.27225727,182.2638624,0.0,46.03204,23.01602,115.0801,51.78604499,0.0,0.020107374,0.393098045,5.33,30.66884665,0.00353214,275265,256737,118588,86030,0.000110938,0.402163162,0.00011762,0.499300846,6.44e-05,0.099343979,6.37e-05,0.085859226,19,18,19,20,19.16666667,3024.620797,450128.6139
3,102,129297,34.019778,-118.295592,1234W 37th PL,inside,19.43,94.0,34.44444444444444,18.0,1012.53,2022-02-12 21:39:47,PMS5003+PMS5003+BME280,False,False,False,1,False,20.06,16.62,13.35,14.28,17.76,19.07,060372226002,40945,40946,60372226002.0,6,37,222600,2,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,69.2482924,0.0,69.2482924,69.2482924,2526,787.0,720.0,0.749,217,0.301388889,188,0.261111111,315,0.4375,761,191,352,218,0.250985545,115,1,0,0,101,13,1,0,0,0,13,0,101,0,77,25,13,0.669565217,11.36490118,36.47743377,1.66069077,0.014440789,0.0,0.0,1.458519719,0.187730261,0.014440789,0.0,0.0,0.0,0.187730261,0.0,1.458519719,0.0,13.02559195,0,0.159722222,0.365644529,0.249591221,0.365644529,0.193177623,0.329032178,0.431253112,0.480106651,0.321865768,0.087088224,0.262557078,6.617391304,0.003634109,33.13713162,0.0,11.29827241,21.83885922,157.1342718,0.0,36.96842061,55.45263092,18.48421031,64.69473607,0.0,0.402092175,0.987205194,27.33,252.5867338,0.010819477,445136,370162,911966,478935,0.0001794,0.650345308,0.000169584,0.719889224,0.000495097,0.763975535,0.000354823,0.477984289,6,2,18,20,14.0,2453.349539,280242.2848
4,138,3479,34.046755,-118.155307,1381 Rock Haven St,outside,0.04,124.0,51.11111111111112,2.0,1001.91,2022-02-12 21:39:51,PMS5003+PMS5003+BME280,False,False,False,1,False,0.1,0.28,0.61,3.69,4.0,10.17,060374820021,35890,35891,60374820021.0,6,37,482002,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,146.1334574,0.0,146.1334574,146.1334574,1282,464.0,449.0,0.479,56,0.124721604,52,0.115812918,341,0.759465479,455,104,134,217,0.228571429,1416,19,60,374,570,393,19,60,374,413,393,5,152,0,258,841,317,0.18220339,3.175179786,8.772802771,9.689772795,0.130018138,0.410583593,2.559304397,3.900544134,2.689322534,0.130018138,0.410583593,2.559304397,2.826183732,2.689322534,0.034215299,1.040145102,0.0,12.86495258,0,3.153674833,0.786287362,0.786287362,0.780128351,0.730032388,0.844286892,0.629051607,0.655534861,0.422113579,0.95033358,0.486370925,0.321327684,0.507290066,17.69095006,0.0,0.0,17.69095006,83.24226509,0.0,0.0,0.0,91.97072484,21.89779163,0.0,0.0,0.0,6.0,26.27734995,0.004680187,426908,366604,146904,88627,0.000172053,0.623714134,0.000167954,0.712969644,7.98e-05,0.123064963,6.57e-05,0.088451071,19,17,13,20,17.0,3474.082108,591392.5745
5,184,134914,34.10726,-118.139685,1608 Wayne Ave,outside,0.0,116.0,46.66666666666667,0.0,998.83,2022-02-12 21:40:29,PMS5003+PMS5003+BME280,False,False,False,0,False,0.0,0.01,0.03,1.61,2.12,5.91,060374805001,36907,36908,60374805001.0,6,37,480500,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,144.0214937,0.0,144.0214937,143.0546226,1438,561.0,561.0,0.606,0,0.0,197,0.351158645,364,0.648841355,699,131,190,378,0.187410587,372,147,16,1,198,10,147,16,1,138,10,22,38,0,151,121,100,0.405913978,3.921578974,10.05210439,2.600405309,1.027579517,0.11184539,0.006990337,1.384086697,0.069903369,1.027579517,0.11184539,0.006990337,0.964666486,0.069903369,0.153787411,0.2656328,0.0,6.521984283,0,0.663101604,0.590887487,0.590887487,0.710969289,0.665314378,0.586943885,0.655038265,0.728559075,0.688231703,0.411049724,0.694677871,1.879032258,0.415184509,20.12284669,0.0,4.976243694,15.14660299,84.46294846,0.0,26.66268695,17.77512463,66.65671736,4.443781158,346.01,0.0,0.0,8.33,37.01669704,0.005792768,347195,306479,626859,486579,0.000139927,0.507253152,0.000140409,0.596038841,0.000340315,0.525134643,0.000360486,0.485613116,13,14,13,17,14.5,3918.866654,582848.7782
6,204,92037,33.887818,-118.412414,16th Street Sand Section,outside,11.84,77.0,25.0,34.0,1017.14,2022-02-12 21:40:34,PMS5003+PMS5003+BME280,False,False,False,0,False,10.72,8.29,8.2,13.77,11.03,13.38,060376203056,48916,48917,60376203056.0,6,37,620305,6,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,36.4222929,0.0,36.4222929,36.06459,527,434.0,278.0,0.577,16,0.057553957,44,0.158273381,218,0.784172662,223,31,32,160,0.139013453,2184,87,561,53,436,1047,87,99,53,336,1047,0,100,462,555,815,814,0.254120879,12.03396462,14.61267132,60.55801549,2.412338529,15.55542431,1.469585541,12.08942068,29.03124644,2.412338529,2.745074878,1.469585541,9.316617768,29.03124644,0.0,2.772802907,12.81034943,72.59198011,0,7.856115108,0.771631541,0.771631541,0.754966,0.706485839,0.811622652,0.521239953,0.573732286,0.386405629,0.388786426,0.185292896,0.102106227,0.40742689,48.73684223,0.0,6.262967542,42.47387469,632.702616,0.0,140.5732477,35.14331191,228.4315274,351.4331191,127.41,0.0,0.0,4.0,70.28662383,0.007590133,245133,206369,152174,66063,9.88e-05,0.358140201,9.45e-05,0.401345409,8.26e-05,0.127479767,4.89e-05,0.065931862,19,16,20,20,19.16666667,1695.537439,147399.9816
7,205,86753,33.887691,-118.412456,16th Street Sand Section,inside,12.54,85.0,29.444444444444446,23.0,1015.83,2022-02-12 21:40:09,PMS5003+PMS5003+BME280,False,False,False,1,False,10.12,8.12,7.43,7.61,6.16,6.98,060376203056,48916,48917,60376203056.0,6,37,620305,6,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,36.4222929,0.0,36.4222929,36.06459,527,434.0,278.0,0.577,16,0.057553957,44,0.158273381,218,0.784172662,223,31,32,160,0.139013453,2184,87,561,53,436,1047,87,99,53,336,1047,0,100,462,555,815,814,0.254120879,12.03396462,14.61267132,60.55801549,2.412338529,15.55542431,1.469585541,12.08942068,29.03124644,2.412338529,2.745074878,1.469585541,9.316617768,29.03124644,0.0,2.772802907,12.81034943,72.59198011,0,7.856115108,0.771631541,0.771631541,0.754966,0.706485839,0.811622652,0.521239953,0.573732286,0.386405629,0.388786426,0.185292896,0.102106227,0.40742689,48.73684223,0.0,6.262967542,42.47387469,632.702616,0.0,140.5732477,35.14331191,228.4315274,351.4331191,127.41,0.0,0.0,4.0,70.28662383,0.007590133,245133,206369,152174,66063,9.88e-05,0.358140201,9.45e-05,0.401345409,8.26e-05,0.127479767,4.89e-05,0.065931862,19,16,20,20,19.16666667,1695.537439,147399.9816
8,2834,6250,33.88721,-118.412091,CCA 15th and Manhattan Ave,outside,0.0,104.0,40.0,14.0,1016.46,2022-02-12 21:40:10,PMS5003+PMS5003+BME280,False,False,False,1,False,0.18,0.15,0.18,0.33,0.24,0.23,060376203056,48916,48917,60376203056.0,6,37,620305,6,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,36.4222929,0.0,36.4222929,36.06459,527,434.0,278.0,0.577,16,0.057553957,44,0.158273381,218,0.784172662,223,31,32,160,0.139013453,2184,87,561,53,436,1047,87,99,53,336,1047,0,100,462,555,815,814,0.254120879,12.03396462,14.61267132,60.55801549,2.412338529,15.55542431,1.469585541,12.08942068,29.03124644,2.412338529,2.745074878,1.469585541,9.316617768,29.03124644,0.0,2.772802907,12.81034943,72.59198011,0,7.856115108,0.771631541,0.771631541,0.754966,0.706485839,0.811622652,0.521239953,0.573732286,0.386405629,0.388786426,0.185292896,0.102106227,0.40742689,48.73684223,0.0,6.262967542,42.47387469,632.702616,0.0,140.5732477,35.14331191,228.4315274,351.4331191,127.41,0.0,0.0,4.0,70.28662383,0.007590133,245133,206369,152174,66063,9.88e-05,0.358140201,9.45e-05,0.401345409,8.26e-05,0.127479767,4.89e-05,0.065931862,19,16,20,20,19.16666667,1695.537439,147399.9816
9,209,82609,34.135336,-118.50378,171xx Escalon Dr,outside,0.0,89.0,31.666666666666668,5.0,976.37,2022-02-12 21:40:37,PMS5003+PMS5003+BME280,False,False,False,0,False,0.05,0.11,0.15,0.27,0.36,3.94,060371397024,45978,45979,60371397024.0,6,37,139702,4,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,1569.387203,134.8086173,1434.578586,581.48253,2437,878.0,836.0,0.471,26,0.031100478,103,0.123205742,707,0.84569378,1008,207,229,572,0.205357143,169,2,9,40,102,16,2,9,40,47,16,0,55,0,52,54,63,0.307692308,1.509933583,4.191011551,0.290636419,0.003439484,0.015477679,0.068789685,0.175413696,0.027515874,0.003439484,0.015477679,0.068789685,0.08082788,0.027515874,0.0,0.094585817,0.0,1.800570002,0,0.20215311,0.66959958,0.66959958,0.833912079,0.718543818,0.353940917,0.452448204,0.483648769,0.272961261,0.129700691,0.287170773,5.964497041,0.006981461,5.841808208,0.0,0.000226507,5.8415817,15.62147952,0.0,0.446124044,0.0,20.96783006,1.338372132,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,170601,140611,-99999,-99999,6.88e-05,0.249248679,6.44e-05,0.273459576,-99999.0,-99999.0,-99999.0,-99999.0,6,16,6,1,6.0,13400.99436,6351225.759
10,4669,62461,34.15084,-118.51999,"Encino, CA: Coronet Dr",outside,13.86,65.0,18.333333333333336,61.0,981.04,2022-01-18 01:39:32,PMS5003+PMS5003+BME280,False,False,False,37201,False,12.98,11.68,12.46,10.14,7.51,11.11,060371397024,45978,45979,60371397024.0,6,37,139702,4,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,1569.387203,134.8086173,1434.578586,581.48253,2437,878.0,836.0,0.471,26,0.031100478,103,0.123205742,707,0.84569378,1008,207,229,572,0.205357143,169,2,9,40,102,16,2,9,40,47,16,0,55,0,52,54,63,0.307692308,1.509933583,4.191011551,0.290636419,0.003439484,0.015477679,0.068789685,0.175413696,0.027515874,0.003439484,0.015477679,0.068789685,0.08082788,0.027515874,0.0,0.094585817,0.0,1.800570002,0,0.20215311,0.66959958,0.66959958,0.833912079,0.718543818,0.353940917,0.452448204,0.483648769,0.272961261,0.129700691,0.287170773,5.964497041,0.006981461,5.841808208,0.0,0.000226507,5.8415817,15.62147952,0.0,0.446124044,0.0,20.96783006,1.338372132,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,170601,140611,-99999,-99999,6.88e-05,0.249248679,6.44e-05,0.273459576,-99999.0,-99999.0,-99999.0,-99999.0,6,16,6,1,6.0,13400.99436,6351225.759
11,4670,87355,34.148271,-118.507496,"Encino, Luverne Pl",outside,0.39,90.0,32.22222222222222,8.0,981.86,2022-02-12 21:39:41,PMS5003+PMS5003+BME280,False,False,False,1,False,0.44,0.53,0.53,0.65,0.71,5.24,060371397024,45978,45979,60371397024.0,6,37,139702,4,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,1569.387203,134.8086173,1434.578586,581.48253,2437,878.0,836.0,0.471,26,0.031100478,103,0.123205742,707,0.84569378,1008,207,229,572,0.205357143,169,2,9,40,102,16,2,9,40,47,16,0,55,0,52,54,63,0.307692308,1.509933583,4.191011551,0.290636419,0.003439484,0.015477679,0.068789685,0.175413696,0.027515874,0.003439484,0.015477679,0.068789685,0.08082788,0.027515874,0.0,0.094585817,0.0,1.800570002,0,0.20215311,0.66959958,0.66959958,0.833912079,0.718543818,0.353940917,0.452448204,0.483648769,0.272961261,0.129700691,0.287170773,5.964497041,0.006981461,5.841808208,0.0,0.000226507,5.8415817,15.62147952,0.0,0.446124044,0.0,20.96783006,1.338372132,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,170601,140611,-99999,-99999,6.88e-05,0.249248679,6.44e-05,0.273459576,-99999.0,-99999.0,-99999.0,-99999.0,6,16,6,1,6.0,13400.99436,6351225.759
12,228,40821,33.861106,-118.334631,187 House,outside,4.04,102.0,38.88888888888889,8.0,1016.38,2022-02-12 21:40:54,PMS5003+PMS5003+BME280,False,False,False,0,False,2.96,2.58,5.51,15.38,12.9,16.93,060376502002,45135,45136,60376502002.0,6,37,650200,2,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,132.9306573,0.0,132.9306573,132.9306573,1060,374.0,374.0,0.632,0,0.0,162,0.43315508,212,0.56684492,498,108,125,265,0.21686747,272,16,3,3,210,40,16,3,3,6,40,190,14,0,63,83,126,0.231617647,2.813496958,7.974082289,2.046179606,0.120363506,0.022568157,0.022568157,1.579771019,0.300908766,0.120363506,0.022568157,0.022568157,0.045136315,0.300908766,1.429316637,0.105318068,0.0,4.859676565,0,0.727272727,0.464578776,0.464578776,0.532107645,0.497938339,0.555574038,0.606403297,0.672876579,0.593652603,0.408408408,0.706493506,1.830882353,0.435664707,15.52550498,0.0,2.766419917,12.75908507,78.67440222,0.0,19.258161,4.81454025,91.47626475,0.0,818.08,0.0,0.0,1.33,6.403338532,0.001254717,342754,300603,11985,8691,0.000138137,0.500764835,0.000137717,0.584611226,6.51e-06,0.010040119,6.44e-06,0.008673748,12,8,12,14,12.0,3202.27651,537963.7154
13,12805,40721,33.86297,-118.341794,TorrAir 5,outside,3.51,103.0,39.44444444444444,7.0,1016.04,2022-02-12 21:39:56,PMS5003+PMS5003+BME280,False,False,False,1,False,3.4,2.83,5.3,15.37,12.57,16.53,060376502002,45135,45136,60376502002.0,6,37,650200,2,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,132.9306573,0.0,132.9306573,132.9306573,1060,374.0,374.0,0.632,0,0.0,162,0.43315508,212,0.56684492,498,108,125,265,0.21686747,272,16,3,3,210,40,16,3,3,6,40,190,14,0,63,83,126,0.231617647,2.813496958,7.974082289,2.046179606,0.120363506,0.022568157,0.022568157,1.579771019,0.300908766,0.120363506,0.022568157,0.022568157,0.045136315,0.300908766,1.429316637,0.105318068,0.0,4.859676565,0,0.727272727,0.464578776,0.464578776,0.532107645,0.497938339,0.555574038,0.606403297,0.672876579,0.593652603,0.408408408,0.706493506,1.830882353,0.435664707,15.52550498,0.0,2.766419917,12.75908507,78.67440222,0.0,19.258161,4.81454025,91.47626475,0.0,818.08,0.0,0.0,1.33,6.403338532,0.001254717,342754,300603,11985,8691,0.000138137,0.500764835,0.000137717,0.584611226,6.51e-06,0.010040119,6.44e-06,0.008673748,12,8,12,14,12.0,3202.27651,537963.7154
14,238,81851,34.070337,-118.496868,1900 Block MCR,outside,0.9,92.0,33.333333333333336,7.0,1000.07,2022-02-12 21:39:43,PMS5003+PMS5003+BME280,False,False,False,1,False,0.59,0.42,0.56,2.14,1.94,5.82,060372624002,49711,49712,60372624002.0,6,37,262400,2,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,2296.121152,0.0,2296.121152,775.49042,2123,876.0,749.0,0.506,0,0.0,150,0.200267023,599,0.799732977,708,145,149,414,0.20480226,226,4,22,103,90,7,4,22,103,78,7,0,12,0,40,106,80,0.17699115,1.129607765,2.737622471,0.291428487,0.005158026,0.028369145,0.132819178,0.116055592,0.009026546,0.005158026,0.028369145,0.132819178,0.100581513,0.009026546,0.0,0.015474079,0.0,1.421036252,0,0.301735648,0.702469926,0.702469926,0.718264109,0.618895263,0.448441372,0.45761293,0.462532035,0.249717766,0.192422307,0.483940043,3.132743363,0.118511727,4.966080052,0.0,0.005811568,4.960268484,8.087099402,0.0,0.278730937,0.0,11.42796841,0.278730937,-99999.0,0.0,0.0,1.0,0.278730937,0.000471032,98933,72618,-99999,-99999,3.99e-05,0.144541471,3.33e-05,0.141227127,-99999.0,-99999.0,-99999.0,-99999.0,9,12,5,1,5.5,18628.30597,9292272.445
15,242,81663,34.050291,-118.43107,1909 pelham,outside,0.83,117.0,47.22222222222222,1.0,1010.58,2022-02-12 21:41:07,PMS5003+PMS5003+BME280,False,False,False,0,False,0.47,0.53,1.04,4.94,4.94,8.85,060372671001,51808,51809,60372671001.0,6,37,267100,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,54.0558431,0.0,54.0558431,54.0558431,3035,1360.0,1312.0,0.666,121,0.09222561,582,0.443597561,609,0.464176829,975,198,184,593,0.203076923,1120,5,147,98,845,25,5,147,98,229,25,6,610,0,167,306,647,0.149107143,25.1591673,56.14564173,20.71931425,0.092496939,2.719409995,1.812939996,15.63198262,0.462484693,0.092496939,2.719409995,1.812939996,4.236359788,0.462484693,0.110996326,11.28462651,0.0,45.87848154,0,0.853658537,0.497864089,0.497864089,0.653794177,0.611810767,0.591060772,0.471876944,0.509393482,0.615768513,0.539109507,0.930787589,0.870535714,0.878565965,43.25052866,0.0,10.13918197,33.11134669,311.80792,0.0,23.67921628,23.67921628,71.03764884,224.9525547,364.78,0.0,0.0,2.33,27.58628697,0.00076771,413794,296541,345133,189688,0.000166768,0.604554533,0.000135856,0.576711468,0.000187369,0.289126095,0.000140532,0.18931146,13,12,20,17,16.5,2190.769108,218760.2023
16,291,95051,33.757412,-118.12206,213 Attica Drive,outside,5.59,82.0,27.77777777777778,22.0,1018.52,2022-02-12 21:39:57,PMS5003+PMS5003+BME280,False,False,False,1,False,8.71,13.34,16.28,16.05,10.88,14.13,060375775011,44808,44809,60375775011.0,6,37,577501,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,145.949615,58.3338854,87.6157296,79.41529,1224,696.0,667.0,0.605,36,0.053973013,307,0.460269865,324,0.485757121,576,88,126,362,0.152777778,162,0,22,10,44,86,0,22,10,11,86,0,33,0,42,63,57,0.259259259,8.764055385,15.41264913,2.039909443,0.0,0.277024739,0.125920336,0.554049478,1.08291489,0.0,0.277024739,0.125920336,0.13851237,1.08291489,0.0,0.415537109,0.0,10.80396483,0,0.242878561,0.817454209,0.70411673,0.79901508,0.618418521,0.444523962,0.531718641,0.585490076,0.653630106,0.233766234,0.43902439,3.555555556,0.077649082,66.25739284,2.183811033,16.30669649,47.76688531,606.4591397,29.21849777,131.48324,109.5693666,394.4497199,146.0924889,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,265812,255099,-99999,-99999,0.000107128,0.388352295,0.00011687,0.496115272,-99999.0,-99999.0,-99999.0,-99999.0,8,12,20,1,10.33333333,4367.347901,590651.7829
17,298,124853,34.040904,-118.493595,21st St,inside,1.3,83.0,28.333333333333336,19.0,1008.88,2022-02-12 21:39:58,PMS5003+PMS5003+BME280,False,False,False,1,False,1.62,2.66,2.9,3.55,3.01,5.55,060377012013,42518,42519,60377012013.0,6,37,701201,3,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,73.2624319,0.0,73.2624319,73.2624319,814,360.0,301.0,0.486,8,0.026578073,69,0.22923588,224,0.744186047,318,73,51,194,0.229559748,66,0,3,1,58,4,0,3,1,57,4,0,1,0,21,24,21,0.318181818,4.913841797,11.11074228,0.900870996,0.0,0.040948682,0.013649561,0.791674512,0.054598242,0.0,0.040948682,0.013649561,0.778024951,0.054598242,0.0,0.013649561,0.0,5.814712793,0,0.219269103,0.351607778,0.302858455,0.350416677,0.271214109,0.347204162,0.438321677,0.486074314,0.511003882,0.15,0.34375,4.818181818,0.021967706,21.70830594,0.0,0.0,21.70830594,116.4995452,0.0,0.0,0.0,69.88575,69.88575,510.97,0.0,0.0,10.67,93.21011906,0.013108108,256566,193731,202551,93753,0.000103402,0.374843855,8.88e-05,0.376767089,0.000109963,0.169681774,6.95e-05,0.093566895,6,3,15,15,11.5,2233.951741,296489.0937
18,12543,49691,34.037326,-118.493468,TF House,inside,0.15,91.0,32.77777777777778,16.0,1011.98,2022-02-12 21:40:08,PMS5003+PMS5003+BME280,False,False,False,1,False,0.04,0.04,0.03,0.08,0.09,0.17,060377012013,42518,42519,60377012013.0,6,37,701201,3,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,73.2624319,0.0,73.2624319,73.2624319,814,360.0,301.0,0.486,8,0.026578073,69,0.22923588,224,0.744186047,318,73,51,194,0.229559748,66,0,3,1,58,4,0,3,1,57,4,0,1,0,21,24,21,0.318181818,4.913841797,11.11074228,0.900870996,0.0,0.040948682,0.013649561,0.791674512,0.054598242,0.0,0.040948682,0.013649561,0.778024951,0.054598242,0.0,0.013649561,0.0,5.814712793,0,0.219269103,0.351607778,0.302858455,0.350416677,0.271214109,0.347204162,0.438321677,0.486074314,0.511003882,0.15,0.34375,4.818181818,0.021967706,21.70830594,0.0,0.0,21.70830594,116.4995452,0.0,0.0,0.0,69.88575,69.88575,510.97,0.0,0.0,10.67,93.21011906,0.013108108,256566,193731,202551,93753,0.000103402,0.374843855,8.88e-05,0.376767089,0.000109963,0.169681774,6.95e-05,0.093566895,6,3,15,15,11.5,2233.951741,296489.0937
